"filename", "language", "C", "comment", "blank", "total"
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.3.c", "C", 12, 1, 4, 17
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.4.c", "C", 13, 1, 5, 19
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.5.c", "C", 18, 1, 4, 23
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.6.c", "C", 11, 2, 3, 16
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.7.c", "C", 19, 1, 7, 27
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.8.c", "C", 17, 1, 5, 23
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_6\Example_6.9.c", "C", 17, 1, 4, 22
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_7\Example_7.1.c", "C", 28, 1, 6, 35
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_7\Example_7.2.c", "C", 23, 1, 5, 29
"c:\Users\User1\Documents\GitHub\Example-from-C-Primer-Plus\Chapter_7\Example_7.3.c", "C", 21, 1, 5, 27
"Total", "-", 848, 67, 294, 1209
